name,year,selling_price,fuel,km_driven,seller_type,transmission,owner,seats,engine_value,max_power_value,mileage_value
Mahindra KUV 100 D75 K8,2020,550000,Diesel,60000,Individual,Manual,First Owner,6,1198,77.00,25.32
Maruti Dzire LXI,2020,550000,Petrol,15000,Individual,Manual,First Owner,5,1197,88.50,23.26
Maruti Swift VXI,2020,570000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift ZXI Plus,2020,578000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Dzire VXI,2020,580000,Petrol,70000,Individual,Manual,First Owner,5,1197,88.50,23.26
Maruti Ignis Zeta AMT,2020,600000,Petrol,5000,Individual,Automatic,First Owner,5,1197,81.80,20.89
Maruti Swift VXI,2020,600000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Baleno Delta,2020,630000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.80,21.01
Maruti Baleno Delta,2020,650000,Petrol,7300,Individual,Manual,First Owner,5,1197,81.80,21.01
Maruti Swift AMT VXI,2020,654000,Petrol,1000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Hyundai Grand i10 Nios AMT Sportz,2020,675000,Petrol,5000,Individual,Automatic,First Owner,5,1197,81.86,20.70
Maruti Dzire ZXI,2020,700000,Petrol,20000,Individual,Manual,First Owner,5,1197,88.50,23.26
Hyundai Elite i20 Sportz Plus BSIV,2020,720000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.86,18.60
Maruti Swift Dzire VXI 1.2,2020,730000,Petrol,1500,Individual,Manual,First Owner,5,1197,81.80,21.21
Mahindra Bolero Pik-Up FB 1.7T,2020,679000,Diesel,5000,Individual,Manual,First Owner,2,2523,70.00,0.00
Maruti Baleno Alpha,2020,749000,Petrol,5500,Individual,Manual,First Owner,5,1197,81.80,21.01
Maruti Vitara Brezza ZXI Plus AT Dual Tone,2020,737000,Petrol,10000,Individual,Automatic,First Owner,5,1462,103.26,18.76
Hyundai Grand i10 Nios Sportz,2020,775000,Petrol,2000,Dealer,Manual,First Owner,5,1197,81.86,20.70
Volkswagen Polo 1.0 TSI Highline Plus,2020,808000,Petrol,5000,Individual,Manual,First Owner,5,999,108.60,18.24
Maruti Vitara Brezza VDi,2020,810000,Diesel,15000,Individual,Manual,First Owner,5,1248,88.50,24.30
Volkswagen Ameo 1.5 TDI Comfortline,2020,800000,Diesel,25000,Individual,Manual,First Owner,5,1498,108.62,21.66
Mahindra XUV500 W7,2020,830000,Diesel,120000,Individual,Manual,First Owner,7,2179,152.87,15.10
Tata Nexon 1.2 Revotron XZ Plus,2020,919999,Petrol,20000,Individual,Manual,First Owner,5,1198,108.50,17.00
Maruti Vitara Brezza ZDi AMT,2020,925000,Diesel,7400,Individual,Automatic,First Owner,5,1248,88.50,24.30
Tata Nexon 1.2 Revotron XZA Plus,2020,950000,Petrol,5000,Individual,Automatic,First Owner,5,1198,108.50,17.00
Hyundai Creta 1.4 EX Diesel,2020,1050000,Diesel,20000,Individual,Manual,First Owner,5,1396,88.70,22.10
Renault KWID 1.0 RXT BSIV,2019,220000,Petrol,90000,Individual,Manual,First Owner,5,999,67.00,23.01
Datsun RediGO A,2019,270000,Petrol,2300,Individual,Manual,First Owner,5,799,53.64,22.70
Renault KWID RXT Optional,2019,290000,Petrol,21000,Individual,Manual,First Owner,5,799,53.30,25.17
Renault KWID RXL,2019,310000,Petrol,25000,Individual,Manual,First Owner,5,799,53.30,25.17
Renault KWID Climber 1.0 MT BSIV,2019,300000,Petrol,35000,Individual,Manual,First Owner,5,999,67.00,23.01
Renault KWID RXL,2019,320000,Petrol,10000,Individual,Manual,First Owner,5,799,53.30,25.17
Datsun GO D Petrol,2019,300000,Petrol,40000,Individual,Manual,First Owner,5,1198,67.05,19.02
Renault KWID RXL,2019,325000,Petrol,14700,Individual,Manual,First Owner,5,799,53.30,25.17
Datsun RediGO SV 1.0,2019,325000,Petrol,1300,Individual,Manual,First Owner,5,999,67.00,22.50
Renault KWID RXT Optional,2019,350000,Petrol,15000,Individual,Manual,First Owner,5,799,53.30,25.17
Maruti Alto K10 VXI,2019,350000,Petrol,15000,Individual,Manual,First Owner,5,998,67.05,23.95
Tata Tiago 1.2 Revotron XE,2019,346000,Petrol,16000,Individual,Manual,First Owner,5,1199,84.00,23.84
Maruti Alto K10 VXI,2019,360000,Petrol,25000,Individual,Manual,First Owner,5,998,67.05,23.95
Maruti Alto K10 VXI,2019,360000,Petrol,27000,Individual,Manual,First Owner,5,998,67.05,23.95
Maruti Alto K10 VXI Airbag,2019,366000,Petrol,15000,Individual,Manual,First Owner,5,998,67.10,23.95
Maruti Eeco 7 Seater Standard BSIV,2019,359000,Petrol,5500,Individual,Manual,First Owner,7,1196,73.00,15.37
Renault KWID RXL,2019,380000,Petrol,15000,Individual,Manual,First Owner,5,799,53.30,25.17
Maruti Alto K10 VXI AGS,2019,380000,Petrol,14000,Individual,Automatic,First Owner,5,998,67.05,23.95
Renault KWID RXT Optional,2019,395000,Petrol,10000,Individual,Manual,First Owner,5,799,53.30,25.17
Datsun RediGO 1.0 T Option,2019,390000,Petrol,10000,Individual,Manual,First Owner,5,999,67.00,22.50
Renault KWID 1.0 RXT BSIV,2019,390000,Petrol,25000,Individual,Manual,First Owner,5,999,67.00,23.01
Maruti Alto K10 VXI Optional,2019,399000,Petrol,10000,Individual,Manual,First Owner,5,998,67.05,23.95
Hyundai Santro Era,2019,399000,Petrol,4000,Individual,Manual,First Owner,5,1086,68.00,20.30
Maruti Eeco 7 Seater Standard BSIV,2019,395000,Petrol,5000,Individual,Manual,First Owner,7,1196,73.00,15.37
Maruti Eeco 5 Seater AC BSIV,2019,400000,Petrol,15000,Individual,Manual,First Owner,5,1196,73.00,15.37
Mahindra KUV 100 G80 K2,2019,400000,Petrol,25000,Individual,Manual,First Owner,6,1198,82.00,18.15
Maruti Eeco 5 Seater AC BSIV,2019,409999,Petrol,10000,Individual,Manual,First Owner,5,1196,73.00,15.37
Renault KWID 1.0 RXT Optional,2019,420000,Petrol,15000,Individual,Manual,First Owner,5,999,67.00,23.01
Tata Tiago 1.2 Revotron XT,2019,409999,Petrol,25000,Individual,Manual,First Owner,5,1199,84.00,23.84
Hyundai Santro Era,2019,420000,Petrol,20000,Individual,Manual,Second Owner,5,1086,68.00,20.30
Hyundai Santro Era,2019,420000,Petrol,30000,Individual,Manual,First Owner,5,1086,68.00,20.30
Hyundai Santro Era,2019,425000,Petrol,15000,Individual,Manual,First Owner,5,1086,68.00,20.30
Maruti Eeco 5 Seater AC BSIV,2019,420000,Petrol,10000,Individual,Manual,First Owner,5,1196,73.00,15.37
Hyundai Santro Sportz BSIV,2019,430000,Petrol,18500,Individual,Manual,First Owner,5,1086,68.00,20.30
Hyundai Santro Magna,2019,434999,Petrol,19500,Dealer,Manual,First Owner,5,1086,68.07,20.30
Hyundai Santro Magna BSIV,2019,450000,Petrol,10000,Individual,Manual,First Owner,5,1086,68.00,20.30
Tata Tigor 1.2 Revotron XE,2019,450000,Petrol,25000,Individual,Manual,First Owner,5,1199,84.00,20.30
Tata Tiago 2019-2020 XZ Plus Dual Tone,2019,450000,Petrol,3500,Individual,Manual,First Owner,5,1199,83.83,23.84
Hyundai Santro Sportz BSIV,2019,458000,Petrol,30000,Individual,Manual,First Owner,5,1086,68.00,20.30
Maruti Celerio VXi AMT,2019,470000,Petrol,9000,Dealer,Automatic,First Owner,5,998,67.04,21.63
Datsun GO T Petrol,2019,459999,Petrol,35000,Individual,Manual,First Owner,5,1198,67.00,19.83
Hyundai Santro Sportz AMT BSIV,2019,466000,Petrol,25000,Individual,Automatic,Fourth & Above Owner,5,1086,68.00,20.30
Tata Tiago 1.2 Revotron XZ,2019,459999,Petrol,10000,Individual,Manual,First Owner,5,1199,84.00,23.84
Maruti S-Presso VXI AT,2019,475000,Petrol,5000,Individual,Automatic,First Owner,5,998,67.00,21.70
Maruti Celerio X ZXI BSIV,2019,480000,Petrol,7600,Individual,Manual,First Owner,5,998,67.00,21.63
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,Petrol,13000,Individual,Manual,First Owner,5,999,75.00,19.44
Maruti Celerio VXI,2019,484999,Petrol,4875,Dealer,Manual,First Owner,5,998,67.04,21.63
Maruti Celerio X ZXI BSIV,2019,490000,Petrol,7000,Individual,Manual,First Owner,5,998,67.00,21.63
Maruti Wagon R VXI 1.2,2019,480000,Petrol,25000,Individual,Manual,First Owner,5,1197,81.80,20.52
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,488999,Petrol,15000,Individual,Manual,First Owner,5,1197,81.86,18.90
Maruti Celerio X ZXI BSIV,2019,500000,Petrol,11000,Individual,Manual,First Owner,5,998,67.00,21.63
Volkswagen Ameo 1.0 MPI Trendline,2019,500000,Petrol,20000,Individual,Manual,First Owner,5,999,75.00,19.44
Maruti Wagon R VXI 1.2,2019,490000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,20.52
Tata Tiago XT,2019,490000,Petrol,33928,Dealer,Manual,First Owner,5,1199,84.48,23.84
Hyundai Santro Magna AMT BSIV,2019,499000,Petrol,5000,Individual,Automatic,First Owner,5,1086,68.00,20.30
Hyundai Santro Magna BSIV,2019,500000,Petrol,5000,Individual,Manual,First Owner,5,1086,68.00,20.30
Datsun GO A Option Petrol,2019,500000,Petrol,10000,Individual,Manual,First Owner,5,1198,67.05,19.02
Hyundai Xcent 1.2 VTVT E,2019,500000,Petrol,60000,Individual,Manual,First Owner,5,1197,81.86,20.14
Maruti Ignis 1.2 Delta BSIV,2019,500000,Petrol,15000,Individual,Manual,First Owner,5,1197,81.80,20.89
Maruti Ignis 1.2 Delta BSIV,2019,500000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,20.89
Maruti Swift LXI,2019,500000,Petrol,15000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Baleno Sigma 1.2,2019,500000,Petrol,10000,Individual,Manual,First Owner,5,1197,83.10,21.40
Tata Tiago 1.2 Revotron XZ Plus Dual Tone,2019,500000,Petrol,5000,Individual,Manual,First Owner,5,1199,84.00,23.84
Hyundai Santro Sportz BSIV,2019,509999,Petrol,5000,Individual,Manual,First Owner,5,1086,68.00,20.30
Hyundai Xcent 1.2 VTVT S,2019,509999,Petrol,40000,Individual,Manual,First Owner,5,1197,81.86,20.14
Maruti Swift LXI,2019,509999,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,21.21
Hyundai Santro Sportz AMT BSIV,2019,521000,Petrol,3010,Individual,Automatic,First Owner,5,1086,68.00,20.30
Tata Tigor 1.2 Revotron XZ,2019,520000,Petrol,14000,Individual,Manual,First Owner,5,1199,84.00,20.30
Tata Tiago NRG Petrol AMT,2019,520000,Petrol,2560,Individual,Automatic,First Owner,5,1199,83.81,24.00
Hyundai Xcent 1.2 VTVT E,2019,525000,Petrol,100000,Individual,Manual,First Owner,5,1197,81.86,20.14
Maruti Ignis 1.2 AMT Delta BSIV,2019,525000,Petrol,20000,Individual,Automatic,First Owner,5,1197,81.80,20.89
Tata Tiago 1.2 Revotron XZA,2019,525000,Petrol,9200,Individual,Automatic,First Owner,5,1199,83.83,23.84
Ford Figo 1.2P Titanium MT,2019,530000,Petrol,9500,Individual,Manual,First Owner,5,1196,86.80,18.16
Tata Tigor 2017-2020 XZ Plus,2019,530000,Petrol,20000,Individual,Manual,First Owner,5,1199,83.81,20.30
Volkswagen Ameo 1.0 MPI Comfortline,2019,550000,Petrol,30000,Individual,Manual,Second Owner,5,999,75.00,19.44
Maruti Wagon R VXI AMT Opt 1.2,2019,540000,Petrol,5000,Individual,Automatic,First Owner,5,1197,81.80,20.52
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,Petrol,15000,Individual,Manual,First Owner,5,1197,81.86,18.90
Hyundai Grand i10 1.2 Kappa Magna AT,2019,550000,Petrol,28000,Individual,Automatic,First Owner,5,1197,81.86,18.90
Hyundai Grand i10 1.2 Kappa Magna AT,2019,550000,Petrol,15000,Individual,Automatic,First Owner,5,1197,81.86,18.90
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.86,18.90
Hyundai Xcent 1.2 VTVT S,2019,550000,Petrol,3000,Individual,Manual,First Owner,5,1197,81.86,20.14
Hyundai Grand i10 Nios Sportz,2019,550000,Petrol,4701,Trustmark Dealer,Manual,First Owner,5,1197,81.86,20.70
Maruti Swift VXI,2019,550000,Petrol,11500,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift VXI,2019,550000,Petrol,40000,Individual,Manual,First Owner,5,1197,81.80,21.21
Tata Tigor 1.2 Revotron XT,2019,550000,Petrol,15000,Individual,Manual,First Owner,5,1199,84.00,20.30
Tata Tiago 1.2 Revotron XZA,2019,550000,Petrol,30000,Individual,Automatic,First Owner,5,1199,83.83,23.84
Tata Tiago NRG Petrol,2019,550000,Petrol,10000,Individual,Manual,First Owner,5,1199,83.81,24.00
Volkswagen Polo 1.0 MPI Trendline BSIV,2019,565000,Petrol,7000,Individual,Manual,First Owner,5,999,75.00,18.78
Maruti Baleno Sigma,2019,556000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,21.01
Volkswagen Polo 2015-2019 1.0 MPI Trendline,2019,570000,Petrol,5000,Individual,Manual,First Owner,5,999,75.00,18.78
Maruti Swift Dzire LDI,2019,558000,Diesel,70000,Individual,Manual,First Owner,5,1248,74.02,28.40
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,562000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.86,18.90
Hyundai Grand i10 1.2 Kappa Magna AT,2019,567000,Petrol,7000,Individual,Automatic,First Owner,5,1197,81.86,18.90
Renault Triber RXT BSIV,2019,580000,Petrol,12000,Individual,Manual,First Owner,7,999,72.00,20.00
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,570000,Petrol,13000,Individual,Manual,First Owner,5,1197,81.86,18.90
Hyundai Xcent 1.2 VTVT SX,2019,570000,Petrol,15000,Individual,Manual,First Owner,5,1197,81.86,20.14
Maruti Ignis 1.2 AMT Zeta BSIV,2019,570000,Petrol,19000,Individual,Automatic,Second Owner,5,1197,81.80,20.89
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2019,585000,Petrol,10000,Individual,Manual,First Owner,5,999,75.00,18.78
Ford Aspire Titanium BSIV,2019,575000,Petrol,20000,Individual,Manual,First Owner,5,1194,94.93,19.40
Maruti Ignis 1.2 Zeta BSIV,2019,577000,Petrol,3000,Individual,Manual,First Owner,5,1197,81.80,20.89
Maruti Baleno Delta 1.2,2019,579000,Petrol,10000,Individual,Manual,First Owner,5,1197,83.10,21.40
Honda WR-V i-VTEC VX,2019,580000,Petrol,35000,Individual,Manual,First Owner,5,1199,88.70,17.50
Hyundai Elite i20 Petrol CVT Magna Executive,2019,585000,Petrol,80000,Individual,Automatic,First Owner,5,1197,81.86,17.40
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,585000,Petrol,8000,Individual,Manual,First Owner,5,1197,81.86,18.90
Maruti Swift VXI,2019,585000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,21.21
Datsun GO Plus T VDC,2019,590000,Petrol,4000,Individual,Manual,First Owner,7,1198,67.00,19.72
Renault Triber RXT BSIV,2019,600000,Petrol,5000,Individual,Manual,First Owner,7,999,72.00,20.00
Hyundai Elite i20 Petrol Magna Exective,2019,590000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.86,18.60
Hyundai Xcent 1.2 VTVT S,2019,590000,Petrol,90000,Individual,Manual,First Owner,5,1197,81.86,20.14
Maruti Swift VXI,2019,595000,Petrol,14548,Dealer,Manual,First Owner,5,1197,81.80,21.21
Hyundai Elite i20 Magna Plus BSIV,2019,600000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.86,18.60
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,600000,Petrol,20000,Individual,Manual,First Owner,5,1197,81.86,18.90
Maruti Swift Dzire AMT VXI,2019,600000,Petrol,10000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Maruti Swift VXI,2019,600000,Petrol,18000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift AMT VXI,2019,600000,Petrol,7500,Individual,Automatic,First Owner,5,1197,81.80,21.21
Maruti Baleno Delta Automatic,2019,600000,Petrol,20000,Individual,Automatic,First Owner,5,1197,83.10,21.40
Tata Tigor 2017-2020 XZ Plus,2019,600000,Petrol,5200,Individual,Manual,First Owner,5,1199,83.81,20.30
Hyundai Elite i20 Magna Plus BSIV,2019,610000,Petrol,2000,Individual,Manual,First Owner,5,1197,81.86,18.60
Maruti Swift AMT VXI,2019,610000,Petrol,10000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Maruti Swift VXI,2019,610000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift VXI,2019,610000,Petrol,18000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift VXI,2019,615000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,21.21
Hyundai i20 Active S Petrol,2019,620000,Petrol,13000,Individual,Manual,First Owner,5,1197,81.86,17.19
Tata Zest Revotron 1.2T XMS,2019,620000,Petrol,100000,Individual,Manual,First Owner,5,1193,88.70,17.57
Hyundai Elite i20 Magna Plus BSIV,2019,625000,Petrol,12500,Individual,Manual,First Owner,5,1197,81.86,18.60
Hyundai Grand i10 Magna AT,2019,625000,Petrol,4337,Dealer,Automatic,First Owner,5,1197,82.00,18.90
Hyundai Elite i20 Magna Plus BSIV,2019,630000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.86,18.60
Maruti Swift VXI,2019,630000,Petrol,4000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift VDI,2019,630000,Diesel,15000,Individual,Manual,Second Owner,5,1248,74.00,28.40
Volkswagen Polo 1.2 MPI Comfortline,2019,635000,Petrol,2000,Dealer,Manual,First Owner,5,1199,74.00,16.20
Renault Triber RXZ BSIV,2019,650000,Petrol,5000,Individual,Manual,First Owner,7,999,72.00,20.00
Volkswagen Ameo 1.2 MPI Comfortline Plus,2019,640000,Petrol,10000,Dealer,Manual,First Owner,5,1198,73.75,17.00
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,640000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.86,18.90
Honda Amaze S Petrol BSIV,2019,640000,Petrol,6000,Individual,Manual,First Owner,5,1199,88.76,19.50
Hyundai i20 Active SX Petrol,2019,650000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.86,17.19
Hyundai Elite i20 Magna Plus BSIV,2019,650000,Petrol,3500,Individual,Manual,First Owner,5,1197,81.86,18.60
Maruti Swift AMT ZXI,2019,650000,Petrol,33000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Maruti Swift Dzire AMT VXI,2019,650000,Petrol,10000,Individual,Automatic,First Owner,5,1197,81.80,21.21
Maruti Swift AMT VVT VXI,2019,650000,Petrol,5621,Trustmark Dealer,Automatic,First Owner,5,1197,81.80,22.00
Maruti Swift AMT ZXI Plus BSIV,2019,650000,Petrol,15000,Individual,Automatic,First Owner,5,1197,81.80,22.00
Maruti Baleno Delta 1.2,2019,650000,Petrol,30000,Individual,Manual,First Owner,5,1197,83.10,21.40
Tata Tigor 2017-2020 XZ Plus,2019,650000,Petrol,20000,Individual,Manual,First Owner,5,1199,83.81,20.30
Tata Zest Quadrajet 1.3 75PS XE,2019,650000,Diesel,15000,Individual,Manual,First Owner,5,1248,74.00,22.95
Maruti Swift Dzire VXI 1.2,2019,655000,Petrol,25000,Individual,Manual,First Owner,5,1197,81.80,21.21
Kia Seltos HTE D,2019,643000,Diesel,10000,Individual,Manual,First Owner,5,1493,113.40,20.80
Maruti Baleno Zeta Automatic,2019,660000,Petrol,10000,Individual,Automatic,First Owner,5,1197,83.10,21.40
Tata Tiago 2019-2020 XZ Plus Diesel,2019,670000,Diesel,2000,Individual,Manual,First Owner,5,1047,69.00,27.28
Tata Bolt Quadrajet XE,2019,660000,Diesel,35000,Individual,Manual,First Owner,5,1248,74.00,22.95
Renault Triber RXZ BSIV,2019,675000,Petrol,5000,Individual,Manual,First Owner,7,999,72.00,20.00
Hyundai Elite i20 Petrol Sportz,2019,667000,Petrol,7500,Individual,Manual,First Owner,5,1197,81.86,18.60
Honda Amaze S Petrol BSIV,2019,670000,Petrol,5000,Individual,Manual,First Owner,5,1199,88.76,19.50
Honda Amaze VX Petrol BSIV,2019,670000,Petrol,20000,Individual,Manual,First Owner,5,1199,88.76,19.50
Maruti Baleno Zeta,2019,675000,Petrol,16500,Individual,Manual,First Owner,5,1197,81.80,21.01
Maruti Swift Dzire VXI 1.2,2019,675000,Petrol,10000,Individual,Manual,First Owner,5,1197,81.80,21.21
Maruti Swift Dzire VXI 1.2,2019,675000,Petrol,5000,Individual,Manual,First Owner,5,1197,81.80,21.21
Ford Figo 1.2P Titanium MT,2019,675000,Petrol,2789,Dealer,Manual,First Owner,5,1196,86.80,18.16
Maruti Baleno Zeta Automatic,2019,675000,Petrol,5000,Individual,Automatic,First Owner,5,1197,83.10,21.40
Ford Aspire Titanium BSIV,2019,675000,Petrol,7000,Individual,Manual,First Owner,5,1194,94.93,19.40
Maruti Swift Dzire VDI,2019,675000,Diesel,25000,Individual,Manual,First Owner,5,1248,74.02,28.40
Honda Amaze S CVT Petrol BSIV,2019,680000,Petrol,15000,Individual,Automatic,First Owner,5,1199,88.76,19.00
Ford Freestyle Trend Petrol BSIV,2019,681000,Petrol,10000,Individual,Manual,First Owner,5,1194,94.68,19.00
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,685000,Petrol,4300,Dealer,Manual,First Owner,5,1197,81.86,18.60
Maruti Baleno Delta Automatic,2019,685000,Petrol,19000,Individual,Automatic,First Owner,5,1197,83.10,21.40
Renault Triber RXZ BSIV,2019,700000,Petrol,6500,Individual,Manual,First Owner,7,999,72.00,20.00
Hyundai Elite i20 Petrol Asta Option,2019,690000,Petrol,18000,Individual,Manual,First Owner,5,1197,81.86,18.60
Honda Amaze S i-VTEC,2019,690000,Petrol,1303,Dealer,Manual,First Owner,5,1198,86.70,17.80
Maruti Swift VDI,2019,690000,Diesel,20000,Individual,Manual,First Owner,5,1248,74.00,28.40
Hyundai Elite i20 Sportz Plus BSIV,2019,693000,Petrol,4000,Individual,Manual,First Owner,5,1197,81.86,18.60
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,695000,Petrol,20000,Individual,Automatic,First Owner,5,1197,81.86,17.40
Maruti Swift Dzire VDI,2019,694000,Diesel,35000,Individual,Manual,First Owner,5,1248,74.02,28.40
Hyundai Grand i10 1.2 CRDi Asta,2019,700000,Diesel,10000,Individual,Manual,First Owner,5,1186,73.97,24.00
Hyundai Xcent 1.2 CRDi S,2019,700000,Diesel,3000,Individual,Manual,First Owner,5,1186,73.97,25.40
Hyundai i20 Active SX Petrol,2019,700000,Petrol,20000,Individual,Manual,First Owner,5,1197,81.86,17.19
Hyundai Elite i20 Sportz Plus BSIV,2019,700000,Petrol,19000,Individual,Manual,First Owner,5,1197,81.86,18.60
Hyundai Elite i20 Petrol Asta,2019,700000,Petrol,17000,Individual,Manual,First Owner,5,1197,81.86,18.60
Maruti Swift AMT ZXI Plus BSIV,2019,700000,Petrol,20000,Individual,Automatic,First Owner,5,1197,81.80,22.00
Maruti Swift Dzire AMT VXI BS IV,2019,700000,Petrol,45000,Individual,Automatic,First Owner,5,1197,81.80,22.00
Honda Amaze V Petrol BSIV,2019,700000,Petrol,4500,Individual,Manual,First Owner,5,1199,88.76,19.50
Ford Figo Titanium Blu,2019,700000,Petrol,3177,Dealer,Manual,First Owner,5,1194,94.93,18.50
Ford Freestyle Titanium Plus Petrol BSIV,2019,700000,Petrol,6000,Individual,Manual,First Owner,5,1194,94.68,19.00
Toyota Glanza G Smart Hybrid,2019,700000,Petrol,5000,Individual,Manual,First Owner,5,1197,88.50,23.87
Maruti Swift Dzire VDI,2019,700000,Diesel,30000,Individual,Manual,First Owner,5,1248,74.02,28.40
Hyundai Elite i20 Diesel Sportz,2019,700000,Diesel,60000,Individual,Manual,First Owner,5,1396,88.76,22.54
Volkswagen Polo 1.5 TDI Comfortline,2019,695000,Diesel,36800,Dealer,Manual,First Owner,5,1498,88.00,20.14
Maruti Baleno Alpha 1.2,2019,711000,Petrol,5000,Individual,Manual,First Owner,5,1197,83.10,21.40
Honda Amaze S CVT Diesel BSIV,2019,700000,Diesel,40000,Individual,Automatic,First Owner,5,1498,78.90,23.80
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,720000,Petrol,16000,Individual,Automatic,First Owner,5,1197,81.86,17.40
Ford Freestyle Titanium Petrol BSIV,2019,720000,Petrol,10000,Individual,Manual,First Owner,5,1194,94.68,19.00
Hyundai i20 1.2 Asta,2019,721000,Petrol,9400,Dealer,Manual,First Owner,5,1197,81.83,18.60
